major,school,degree_level,academic_year,plan_status,requirement_group,course_code,course_title,course_type,credit_hours,prerequisites,source_page,source
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50400555,Delay Analysis and Claims Management,,,50400352 or 50400252,5,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50400591,Professional Certification I,,,,4,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50400592,Professional Certification II,,,,4,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50400593,Special Topics in Construction I,,,,4,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50400594,Special Topics in Construction II,,,,4,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50400595,Learning Through Exposure,,,,4,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50400596,Construction Industry: Challenges and Opportunities,,,,4,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50401111,Construction Information and Technical Drafting,,,-,3,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50401112,Architectural Communication Techniques,,,-,4,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50401113,Computer Visualizations,,,50401111,4,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50401121,Digital Applications for Construction Information,,,50401111,6,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50401131,Understanding Architecture I,,,-,4,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50401171,Creative Design Studio,,,-,4,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50401172,Construction Design Project (Arch) – Pearson Set,,,50401171,6,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50401211,Digital Fabrication Workshop,,,3,3,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50401212,Scripting for Construction,,,50401121 Digital Applications for Construction Information,3,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
